2023-06-21 11:17:53,969 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:17:54,288 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153098
2023-06-21 11:17:54,297 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:17:54,297 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:17:54,635 I event_name:TransferSingle,from_block:17507154, to_block:17508154, current_block_height:17525310
2023-06-21 11:17:55,604 I event_name:TransferSingle,from_block:17507154, to_block:17508154, current_block_height:44153098
2023-06-21 11:17:56,770 I event_name:TransferBatch,from_block:17507154, to_block:17508154, current_block_height:17525310
2023-06-21 11:17:57,992 I event_name:TransferBatch,from_block:17507154, to_block:17508154, current_block_height:44153100
2023-06-21 11:17:59,245 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525310
2023-06-21 11:17:59,272 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:17:59,272 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:17:59,747 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153100
2023-06-21 11:17:59,772 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:17:59,772 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:05,505 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525311
2023-06-21 11:18:05,515 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:05,515 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:05,840 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153103
2023-06-21 11:18:05,856 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:05,856 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:06,190 I event_name:TransferSingle,from_block:17508155, to_block:17509155, current_block_height:17525311
2023-06-21 11:18:07,204 I event_name:TransferSingle,from_block:17508155, to_block:17509155, current_block_height:44153103
2023-06-21 11:18:08,345 I event_name:TransferBatch,from_block:17508155, to_block:17509155, current_block_height:17525311
2023-06-21 11:18:09,367 I event_name:TransferBatch,from_block:17508155, to_block:17509155, current_block_height:44153104
2023-06-21 11:18:10,499 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525311
2023-06-21 11:18:10,520 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:10,520 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:10,903 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153105
2023-06-21 11:18:10,922 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:10,923 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:16,331 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525312
2023-06-21 11:18:16,350 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:16,350 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:16,678 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153108
2023-06-21 11:18:16,693 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:16,693 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:16,999 I event_name:TransferSingle,from_block:17509156, to_block:17510156, current_block_height:17525312
2023-06-21 11:18:17,924 I event_name:TransferSingle,from_block:17509156, to_block:17510156, current_block_height:44153108
2023-06-21 11:18:18,966 I event_name:TransferBatch,from_block:17509156, to_block:17510156, current_block_height:17525312
2023-06-21 11:18:20,003 I event_name:TransferBatch,from_block:17509156, to_block:17510156, current_block_height:44153109
2023-06-21 11:18:21,021 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525312
2023-06-21 11:18:21,043 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:21,043 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:21,438 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153110
2023-06-21 11:18:21,464 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:21,464 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:26,810 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525313
2023-06-21 11:18:26,829 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:26,829 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:27,183 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153113
2023-06-21 11:18:27,204 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:27,204 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:27,566 I event_name:TransferSingle,from_block:17510157, to_block:17511157, current_block_height:17525313
2023-06-21 11:18:28,804 I event_name:TransferSingle,from_block:17510157, to_block:17511157, current_block_height:44153114
2023-06-21 11:18:29,854 I event_name:TransferBatch,from_block:17510157, to_block:17511157, current_block_height:17525313
2023-06-21 11:18:30,777 I event_name:TransferBatch,from_block:17510157, to_block:17511157, current_block_height:44153115
2023-06-21 11:18:31,794 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525313
2023-06-21 11:18:31,817 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:31,817 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:32,162 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153116
2023-06-21 11:18:32,181 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:32,181 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:37,513 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525313
2023-06-21 11:18:37,534 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:37,534 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:37,924 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153119
2023-06-21 11:18:37,947 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:37,947 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:18:38,348 I event_name:TransferSingle,from_block:17511158, to_block:17512158, current_block_height:17525314
2023-06-21 11:18:39,367 I event_name:TransferSingle,from_block:17511158, to_block:17512158, current_block_height:44153119
2023-06-21 11:18:40,846 I event_name:TransferBatch,from_block:17511158, to_block:17512158, current_block_height:17525314
2023-06-21 11:18:41,742 I event_name:TransferBatch,from_block:17511158, to_block:17512158, current_block_height:44153119
